kriter,saglayici,cevap,kanit_turu,kaynak_url,not
Kart saklama / tokenization,iyzico,EVET — kart saklandıktan sonra cardUserKey ve cardToken döner; bu iki değer sonraki tahsilatlarda kart bilgisi yerine kullanılır,resmi dokümantasyon,https://docs.iyzico.com/ek-servisler/kart-saklama,"""Bir sonraki işlemlerde saklanan kartları kullanabilmek için işlem sonrasında dönen cardUserKey ve cardToken değerlerini güvenli şekilde saklayabilirsiniz."""
Kart saklama / tokenization,PayTR,EVET — utoken (kullanıcı) ve ctoken (kart) ile kart PayTR tarafında saklanır,resmi dokümantasyon,https://dev.paytr.com/en/direkt-api/kart-saklama-api,Kayıtlı kart bilgisi PayTR'de saklanır
Kart saklama / tokenization,Craftgate,MUHTEMELEN EVET — kart saklama API bölümü mevcut ancak dokümantasyon oturum duvarı arkasında; doğrulanamadı,EVIDENCE_GATED,https://developer.craftgate.io/en/api/card-storage/,Sandbox üyeliği olmadan doğrulanamadı
Kart saklama / tokenization,Lemon Squeezy,HAYIR (uygulama için) — kart Lemon Squeezy'de tutulur ancak üye işyerine tahsilat için kullanılabilir bir token verilmez,resmi dokümantasyon,https://docs.lemonsqueezy.com/help/products/subscriptions,Merchant of record modeli
Uygulamanın kendi 30 günlük döngüsüyle tahsilat,iyzico,EVET — saklı kartla NON3D ödeme isteği istenen anda ve istenen tutarla gönderilebilir,resmi dokümantasyon,https://docs.iyzico.com/on-hazirliklar/api-reference-beta/kart-saklama,"""Saklı kart kullanarak NON3D ödeme alma isteği"" — tarih/tutar üye işyeri tarafından belirlenir"
Uygulamanın kendi 30 günlük döngüsüyle tahsilat,PayTR,EVET — kayıtlı karttan tekrarlayan ödeme istenen anda tetiklenebilir,resmi dokümantasyon,https://dev.paytr.com/en/direkt-api/kart-saklama-api/kayitli-kart-tekrarlayan-odeme,"""the specified amount is withdrawn from the card ... at any time"""
Uygulamanın kendi 30 günlük döngüsüyle tahsilat,Craftgate,DOĞRULANAMADI,EVIDENCE_GATED,https://developer.craftgate.io/api,
Uygulamanın kendi 30 günlük döngüsüyle tahsilat,Lemon Squeezy,HAYIR — tahsilat takvimi variant üzerindeki abonelik aralığına bağlıdır; keyfi tarihte tahsilat için API yoktur,resmi dokümantasyon,https://docs.lemonsqueezy.com/help/products/subscriptions,Yenilemeyi Lemon Squeezy kendi takviminde yapar
Abonelik ürünü zorunlu mu,iyzico,HAYIR — Abonelik ürünü opsiyonel; tokenlı NON3D ödeme API'si tek başına yeterli,resmi dokümantasyon,https://docs.iyzico.com/urunler/abonelik/abonelik-entegrasyonu/abonelik-islemleri,Abonelik ürünü kullanılırsa ödeme planı referans kodu ve iyzico takvimi devreye girer
Abonelik ürünü zorunlu mu,PayTR,HAYIR — kayıtlı karttan tekrarlayan ödeme servisi tek başına yeterli,resmi dokümantasyon,https://dev.paytr.com/en/direkt-api/kart-saklama-api/kayitli-kart-tekrarlayan-odeme,
